Date,Open,High,Low,Close
09/05/2025,"122.47","122.47","122.47","122.47"
09/04/2025,"121.61","121.61","121.61","121.61"
09/03/2025,"120.15","120.15","120.15","120.15"
09/02/2025,"120.33","120.33","120.33","120.33"
08/29/2025,"121.03","121.03","121.03","121.03"
08/28/2025,"121.48","121.48","121.48","121.48"
08/27/2025,"121.19","121.19","121.19","121.19"
08/26/2025,"120.47","120.47","120.47","120.47"
08/25/2025,"120.04","120.04","120.04","120.04"
08/22/2025,"120.98","120.98","120.98","120.98"
08/21/2025,"117.42","117.42","117.42","117.42"
08/20/2025,"117.42","117.42","117.42","117.42"
08/19/2025,"117.94","117.94","117.94","117.94"
08/18/2025,"118.17","118.17","118.17","118.17"
08/15/2025,"117.86","117.86","117.86","117.86"
08/14/2025,"118.30","118.30","118.30","118.30"
08/13/2025,"119.76","119.76","119.76","119.76"
08/12/2025,"117.49","117.49","117.49","117.49"
08/11/2025,"114.71","114.71","114.71","114.71"
08/08/2025,"115.07","115.07","115.07","115.07"
08/07/2025,"115.19","115.19","115.19","115.19"
08/06/2025,"115.38","115.38","115.38","115.38"
08/05/2025,"115.72","115.72","115.72","115.72"
08/04/2025,"115.64","115.64","115.64","115.64"
08/01/2025,"113.88","113.88","113.88","113.88"
07/31/2025,"115.71","115.71","115.71","115.71"
07/30/2025,"116.89","116.89","116.89","116.89"
07/29/2025,"117.34","117.34","117.34","117.34"
07/28/2025,"117.72","117.72","117.72","117.72"
07/25/2025,"118.19","118.19","118.19","118.19"
07/24/2025,"117.47","117.47","117.47","117.47"
07/23/2025,"118.51","118.51","118.51","118.51"
07/22/2025,"117.27","117.27","117.27","117.27"
07/21/2025,"115.85","115.85","115.85","115.85"
07/18/2025,"116.54","116.54","116.54","116.54"
07/17/2025,"116.71","116.71","116.71","116.71"
07/16/2025,"115.33","115.33","115.33","115.33"
07/15/2025,"114.58","114.58","114.58","114.58"
07/14/2025,"116.55","116.55","116.55","116.55"
07/11/2025,"116.13","116.13","116.13","116.13"
07/10/2025,"117.32","117.32","117.32","117.32"
07/09/2025,"116.68","116.68","116.68","116.68"
07/08/2025,"115.84","115.84","115.84","115.84"
07/07/2025,"115.32","115.32","115.32","115.32"
07/03/2025,"116.63","116.63","116.63","116.63"
07/02/2025,"115.80","115.80","115.80","115.80"
07/01/2025,"114.71","114.71","114.71","114.71"
06/30/2025,"113.60","113.60","113.60","113.60"
06/27/2025,"113.78","113.78","113.78","113.78"
06/26/2025,"113.58","113.58","113.58","113.58"
06/25/2025,"112.02","112.02","112.02","112.02"
06/24/2025,"113.18","113.18","113.18","113.18"
06/23/2025,"111.93","111.93","111.93","111.93"
06/20/2025,"110.94","110.94","110.94","110.94"
06/18/2025,"110.86","110.86","110.86","110.86"
06/17/2025,"110.30","110.30","110.30","110.30"
06/16/2025,"111.34","111.34","111.34","111.34"
06/13/2025,"110.03","110.03","110.03","110.03"
06/12/2025,"111.83","111.83","111.83","111.83"
06/11/2025,"111.97","111.97","111.97","111.97"
06/10/2025,"112.41","112.41","112.41","112.41"
06/09/2025,"112.01","112.01","112.01","112.01"
06/06/2025,"111.64","111.64","111.64","111.64"
06/05/2025,"110.38","110.38","110.38","110.38"
06/04/2025,"110.55","110.55","110.55","110.55"
06/03/2025,"110.66","110.66","110.66","110.66"
06/02/2025,"109.21","109.21","109.21","109.21"
05/30/2025,"109.34","109.34","109.34","109.34"
05/29/2025,"109.72","109.72","109.72","109.72"
05/28/2025,"109.45","109.45","109.45","109.45"
05/27/2025,"110.63","110.63","110.63","110.63"
05/23/2025,"108.21","108.21","108.21","108.21"
05/22/2025,"108.61","108.61","108.61","108.61"
05/21/2025,"108.68","108.68","108.68","108.68"
05/20/2025,"111.76","111.76","111.76","111.76"
05/19/2025,"112.00","112.00","112.00","112.00"
05/16/2025,"112.43","112.43","112.43","112.43"
05/15/2025,"111.28","111.28","111.28","111.28"
05/14/2025,"111.00","111.00","111.00","111.00"
05/13/2025,"111.58","111.58","111.58","111.58"
05/12/2025,"111.02","111.02","111.02","111.02"
05/09/2025,"107.02","107.02","107.02","107.02"
05/08/2025,"107.05","107.05","107.05","107.05"
05/07/2025,"105.39","105.39","105.39","105.39"
05/06/2025,"105.01","105.01","105.01","105.01"
05/05/2025,"105.85","105.85","105.85","105.85"
05/02/2025,"106.29","106.29","106.29","106.29"
05/01/2025,"103.97","103.97","103.97","103.97"
04/30/2025,"103.60","103.60","103.60","103.60"
04/29/2025,"103.95","103.95","103.95","103.95"
04/28/2025,"103.44","103.44","103.44","103.44"
04/25/2025,"103.02","103.02","103.02","103.02"
04/24/2025,"103.15","103.15","103.15","103.15"
04/23/2025,"100.97","100.97","100.97","100.97"
04/22/2025,"99.49","99.49","99.49","99.49"
04/21/2025,"96.96","96.96","96.96","96.96"
04/17/2025,"99.27","99.27","99.27","99.27"
04/16/2025,"98.42","98.42","98.42","98.42"
04/15/2025,"99.58","99.58","99.58","99.58"
04/14/2025,"99.71","99.71","99.71","99.71"
04/11/2025,"98.60","98.60","98.60","98.60"
04/10/2025,"97.22","97.22","97.22","97.22"
04/09/2025,"101.55","101.55","101.55","101.55"
04/08/2025,"92.86","92.86","92.86","92.86"
04/07/2025,"95.31","95.31","95.31","95.31"
04/04/2025,"96.20","96.20","96.20","96.20"
04/03/2025,"101.10","101.10","101.10","101.10"
04/02/2025,"108.35","108.35","108.35","108.35"
04/01/2025,"106.63","106.63","106.63","106.63"
03/31/2025,"106.24","106.24","106.24","106.24"
03/28/2025,"106.24","106.24","106.24","106.24"
03/27/2025,"108.33","108.33","108.33","108.33"
03/26/2025,"109.43","109.43","109.43","109.43"
03/25/2025,"110.30","110.30","110.30","110.30"
03/24/2025,"110.72","110.72","110.72","110.72"
03/21/2025,"108.01","108.01","108.01","108.01"
03/20/2025,"108.44","108.44","108.44","108.44"
03/19/2025,"109.16","109.16","109.16","109.16"
03/18/2025,"107.68","107.68","107.68","107.68"
03/17/2025,"108.64","108.64","108.64","108.64"
03/14/2025,"107.13","107.13","107.13","107.13"
03/13/2025,"104.41","104.41","104.41","104.41"
03/12/2025,"106.33","106.33","106.33","106.33"
03/11/2025,"106.29","106.29","106.29","106.29"
03/10/2025,"106.70","106.70","106.70","106.70"
03/07/2025,"109.48","109.48","109.48","109.48"
03/06/2025,"108.82","108.82","108.82","108.82"
03/05/2025,"110.86","110.86","110.86","110.86"
03/04/2025,"109.47","109.47","109.47","109.47"
03/03/2025,"111.07","111.07","111.07","111.07"
02/28/2025,"113.85","113.85","113.85","113.85"
02/27/2025,"112.71","112.71","112.71","112.71"
02/26/2025,"114.33","114.33","114.33","114.33"
02/25/2025,"114.09","114.09","114.09","114.09"
02/24/2025,"114.41","114.41","114.41","114.41"
02/21/2025,"114.81","114.81","114.81","114.81"
02/20/2025,"117.91","117.91","117.91","117.91"
02/19/2025,"119.02","119.02","119.02","119.02"
02/18/2025,"119.65","119.65","119.65","119.65"
02/14/2025,"118.85","118.85","118.85","118.85"
02/13/2025,"118.78","118.78","118.78","118.78"
02/12/2025,"117.42","117.42","117.42","117.42"
02/11/2025,"118.27","118.27","118.27","118.27"
02/10/2025,"118.88","118.88","118.88","118.88"
02/07/2025,"118.66","118.66","118.66","118.66"
02/06/2025,"119.88","119.88","119.88","119.88"
02/05/2025,"120.07","120.07","120.07","120.07"
02/04/2025,"119.12","119.12","119.12","119.12"
02/03/2025,"118.19","118.19","118.19","118.19"
01/31/2025,"119.64","119.64","119.64","119.64"
01/30/2025,"120.76","120.76","120.76","120.76"
01/29/2025,"119.35","119.35","119.35","119.35"
01/28/2025,"119.85","119.85","119.85","119.85"
01/27/2025,"119.42","119.42","119.42","119.42"
01/24/2025,"120.66","120.66","120.66","120.66"
01/23/2025,"120.83","120.83","120.83","120.83"
01/22/2025,"120.42","120.42","120.42","120.42"
01/21/2025,"121.02","121.02","121.02","121.02"
01/17/2025,"119.04","119.04","119.04","119.04"
01/16/2025,"118.56","118.56","118.56","118.56"
01/15/2025,"117.85","117.85","117.85","117.85"
01/14/2025,"116.18","116.18","116.18","116.18"
01/13/2025,"114.88","114.88","114.88","114.88"
01/10/2025,"114.15","114.15","114.15","114.15"
01/08/2025,"115.93","115.93","115.93","115.93"
01/07/2025,"116.00","116.00","116.00","116.00"
01/06/2025,"116.89","116.89","116.89","116.89"
01/03/2025,"116.71","116.71","116.71","116.71"
01/02/2025,"115.02","115.02","115.02","115.02"
12/31/2024,"115.16","115.16","115.16","115.16"
12/30/2024,"115.03","115.03","115.03","115.03"
12/27/2024,"116.00","116.00","116.00","116.00"
